T_tokens,epoch,init_a_T,init_a_T_se,shuffle_a_T,shuffle_a_T_se,Linf_T,Linf_T_se
3566206976,36,0.756211,0.025495,0.869884,0.028025,3.546038,0.014936
3586129920,36,0.763998,0.025509,0.878891,0.028028,3.534561,0.015009
3606052864,36,0.816764,0.025533,0.917578,0.028073,3.548696,0.015405
3625975808,36,0.778328,0.025500,0.884820,0.028043,3.564884,0.015094
3645898752,37,0.766380,0.025517,0.882722,0.028029,3.558365,0.015037
3665821696,37,0.782933,0.025499,0.887165,0.028048,3.546715,0.015123
3685744640,37,0.743629,0.025535,0.874271,0.028006,3.555785,0.014908
3705667584,37,0.830154,0.025547,0.929822,0.028083,3.563047,0.015519
3725590528,37,0.799058,0.025608,0.928482,0.028039,3.560528,0.015387
3745513472,38,0.796691,0.025485,0.891198,0.028065,3.555277,0.015197
3765436416,38,0.775420,0.025500,0.882860,0.028041,3.552374,0.015073
3785359360,38,0.786292,0.025472,0.880948,0.028058,3.547068,0.015107
3805282304,38,0.845810,0.025582,0.949265,0.028090,3.557487,0.015679
3825205248,38,0.851021,0.025497,0.927277,0.028119,3.566859,0.015591
3845128192,39,0.806755,0.025579,0.924924,0.028052,3.557541,0.015401
3865051136,39,0.790590,0.025487,0.888195,0.028058,3.552551,0.015158
3884974080,39,0.766200,0.025536,0.888255,0.028025,3.563868,0.015063
3904897024,39,0.849882,0.025688,0.981164,0.028069,3.559507,0.015855
3924819968,39,0.842622,0.025632,0.961302,0.028075,3.567441,0.015726
3944742912,40,0.833411,0.025550,0.932585,0.028085,3.554324,0.015546
3964665856,40,0.815223,0.025516,0.911504,0.028076,3.552717,0.015369
3984588800,40,0.756300,0.025542,0.883920,0.028015,3.572353,0.015003
